什么,2812
医生,2802
现在,2048
没有,1908
医院,1886
检查,1792
请问,1754
感觉,1724
月经,1365
一直,1329
头晕,1314
正常,1278
开始,1255
治疗,1205
问题,1156
还是,1127
最近,1123
但是,903
怎么,872
有点,861
这个,856
可以,844
今年,821
症状,816
大便,815
时候,787
严重,785
知道,781
情况,780
经常,768
宝宝,730
需要,727
一次,722
晚上,715
就是,674
您好,662
手术,657
怎么办,650
不好,637
之前,616
湿疹,610
一下,605
还有,600
已经,587
中药,578
出现,571
原因,567
一个,559
特别,552
谢谢,549
左右,547
失眠,545
今天,539
几天,528
有时,525
每天,525
发现,507
你好,504
便秘,495
自己,486
然后,483
效果,480
睡觉,474
是不是,472
比较,469
睡眠,462
应该,454
以前,449
这是,447
结节,445
一天,436
疼痛,428
两个,426
有时候,420
舒服,417
这种,416
一个月,415
身体,414
孩子,412
时间,404
之后,404
早泄,402
早上,401
后来,395
因为,394
这样,393
本人,393
调理,390
容易,387
而且,386
腹泻,376
10,373
东西,372
结果,369
平时,367
起来,367
一年,366
每次,365
很多,359
觉得,346
不能,341
明显,341
或者,335
服用,331
突然,327
脱发,325
去年,324
目前,320
不会,320
30,319
是否,318
20,317
乏力,315
一点,314
月经不调,312
肚子,308
怎么回事,307
吃药,304
28,304
咨询,304
不是,298
好转,298
导致,294
怀孕,294
引起,293
小时,293
一样,290
CT,290
出来,287
如何,287
总是,282
两天,280
持续,279
影响,279
其他,278
头发,277
中医,276
拉肚子,274
25,272
偶尔,269
乳腺,269
如果,268
可能,264
手淫,264
体检,262
难受,262
胀痛,260
一周,257
厉害,257
三个,254
白天,250
月份,249
精神,248
出汗,247
报告,245
眼睛,243
24,243
乳房,240
B超,237
无力,235
建议,234
大概,233
期间,232
有没有,231
27,230
睡不着,230
26,228
方面,228
上海,227
昨天,226
两次,225
显示,223
看看,222
皮肤,220
诊断,220
做过,218
缓解,216
一些,213
23,211
年龄,208
感冒,206
勃起,206
药物,205
12,204
以后,203
22,203
抑郁症,203
基本,200
29,195
星期,194
办法,194
复查,194
各位,193
咳嗽,193
看过,192
发烧,191
工作,191
半个,190
恶心,190
呕吐,190
