请问,456
医生,361
有没有,329
不会,306
可以,291
什么,287
还是,237
减肥,220
影响,215
毛巾,206
这样,182
现在,172
身体,171
洗脸,158
因为,150
里面,150
然后,149
时候,148
直接,141
这个,140
晚上,135
没有,126
头发,113
洗头,100
怎么,99
每天,98
需要,95
感觉,93
早上,93
或者,91
眼睛,88
健康,86
洗澡,85
还有,83
不好,83
医院,80
是不是,77
经常,76
睡觉,76
所以,74
伤害,74
问题,73
体重,73
检查,71
细菌,71
一直,68
这种,68
有点,67
冲洗,66
一下,65
吃饭,65
知道,64
洗衣机,64
洗手,63
正常,62
一般,62
一次,62
夏天,62
衣服,62
肥胖,60
上面,60
每次,59
洗衣,59
不能,58
情况,58
东西,58
小心,58
大便,54
水龙头,54
开始,53
厕所,53
一个,52
放在,52
一起,51
出来,51
运动,49
坏处,49
之前,48
就是,48
内裤,48
如何,46
已经,46
米饭,46
月经,45
一天,45
引起,45
如果,45
自己,44
比较,44
今天,44
治疗,44
耳朵,44
冰箱,43
苹果,43
有时候,42
最近,42
淋浴,42
清水,42
总是,42
刷牙,42
怎样,40
冷藏,40
家里,40
鼻腔,40
打开,40
身高,39
使用,39
您好,38
特别,38
左右,38
几天,38
你好,38
今年,38
一点,38
很多,38
冷水,38
起来,37
早餐,37
牙膏,37
同时,36
本人,36
长期,36
泡沫,36
之后,35
两个,35
手术,35
但是,35
熬夜,35
危害,35
洗头发,35
擦干,35
酸奶,34
孩子,34
怎么办,34
容易,34
喜欢,34
立刻,34
碗筷,34
才能,33
多久,33
嘴巴,33
香蕉,33
味道,33
窗户,33
饮食,32
营养不良,32
原因,32
听说,32
而且,32
矿泉水,32
涑口,32
怀孕,31
中药,31
可不可以,31
洗手液,31
阳台,31
发现,30
打湿,30
一些,29
小时,29
外面,29
卫生纸,29
消毒,29
干净,28
肚子,28
很大,28
怎么样,28
手机,28
鼻毛,28
导致,27
20,27
用手,27
空腹,26
10,26
温水,26
调理,25
是否,25
宝宝,25
几个,25
时间,25
平时,25
卫生,25
症状,24
多少,24
小便,24
皮肤,24
好像,24
肠胃,24
常温,24
洗发露,24
洗发水,24
必要,24
吹风机,24
脸上,23
习惯,23
鸡蛋,23
喝水,23
有毒,23
开水,23
男生,23
