怀孕,3150
医生,1407
检查,1182
现在,1027
月经,999
什么,909
没有,908
请问,789
医院,723
这个,624
正常,607
可以,559
影响,546
今天,483
一直,467
还是,417
知道,408
但是,394
需要,391
孕酮,372
一次,372
孩子,359
一下,347
时候,345
问题,343
胎儿,343
情况,338
感觉,319
治疗,315
同房,304
之前,302
开始,301
你好,301
B超,300
手术,294
不会,286
然后,283
宝宝,282
28,275
是不是,270
您好,270
还有,270
怎么办,263
发现,257
结果,256
有点,253
谢谢,246
因为,245
最近,238
自己,233
左右,233
一个,231
怎么,229
10,226
今年,225
流产,225
如果,219
25,217
27,217
已经,216
宫外孕,215
29,212
24,210
是否,210
出血,209
12,208
显示,203
30,198
两个,198
26,198
不能,196
焦虑,196
20,191
避孕药,191
这样,185
几天,185
输卵管,183
严重,182
目前,177
昨天,176
就是,174
可能,173
23,171
原因,171
这种,169
期间,168
22,166
每天,166
复查,163
有没有,163
不好,157
服用,157
出来,156
晚上,156
建议,155
吃药,153
应该,151
担心,150
比较,150
11,149
31,148
这是,146
焦虑症,146
分泌物,141
早上,141
三个,139
15,138
月份,136
后来,135
推迟,133
子宫,133
备孕,133
症状,133
末次,132
褐色,131
出现,128
本人,128
胎心,127
之后,126
一个月,126
时间,126
两天,125
21,124
抽血,123
老公,122
17,120
hcg,118
16,117
特别,117
去年,117
14,116
彩超,116
大概,116
第一次,114
身体,114
肚子,114
报告,113
黄体酮,113
看看,113
中药,112
人流,112
例假,112
咨询,112
不是,111
18,111
两次,111
老婆,111
查出,109
以后,109
舒服,106
而且,103
右侧,101
试纸,101
突然,101
一天,101
19,100
排卵,100
上个月,100
最后,100
32,99
准备,99
左侧,98
一周,97
保胎,96
小孩,96
麻烦,96
多月,96
造影,95
小时,94
或者,94
孕妇,94
阴道,93
觉得,93
多久,92
一点,92
13,92
怎么回事,91
所以,91
其他,91
..,90
白带,90
胶囊,90
一年,90
紧急,90
当时,89
33,89
自然,88
我们,88
很多,88
35,88
注意,88
东西,88
导致,87
的话,86
四维,85
可是,84
药物,84
测试,83
平时,82
有时候,82
